,date,Open,High,Low,Close_x,Volume,label_up5,label_up2,label_down5,label_down2
1887,2020-03-08,8903.72,8920.28,8033.06,8057.67,533371350.28,False,False,True,True
1888,2020-03-09,8057.67,8200.82,7664.34,7944.4,682781069.24,False,False,False,True
1889,2020-03-10,7944.4,8165.09,7758.12,7894.66,427332546.47,False,True,False,True
1890,2020-03-11,7894.66,7998.79,7614.48,7945.36,372704355.27,False,False,False,True
1891,2020-03-12,7945.36,7984.16,4736.21,4916.78,1769476928.68,False,False,True,True
1892,2020-03-13,4916.78,5984.55,3948.92,5632.58,1663092005.9,True,True,True,True
1893,2020-03-14,5632.58,5665.57,5069.29,5181.77,474539626.45,False,False,True,True
1894,2020-03-15,5181.77,5961.78,5114.06,5357.02,568696762.62,True,True,False,False
1895,2020-03-16,5357.02,5364.93,4454.22,5045.0,996661883.31,False,False,True,True
1896,2020-03-17,5045.0,5561.43,4950.9,5337.66,618671971.75,True,True,False,False
1897,2020-03-18,5337.66,5451.02,5024.71,5413.06,576456805.62,False,True,True,True
1898,2020-03-19,5413.06,6418.99,5268.33,6184.88,868668216.67,True,True,False,True
1899,2020-03-20,6184.88,6932.04,5691.69,6206.44,947038097.64,True,True,True,True
1900,2020-03-21,6206.44,6459.65,5876.79,6195.43,415771088.67,False,True,True,True
1901,2020-03-22,6195.43,6415.14,5750.68,5828.15,457211401.95,False,True,True,True
1902,2020-03-23,5828.15,6614.56,5703.64,6503.53,667919370.22,True,True,False,True
1903,2020-03-24,6503.53,6857.49,6406.64,6767.18,700444488.16,True,True,False,False
1904,2020-03-25,6767.18,6980.29,6483.0,6694.21,566264216.07,False,True,False,True
1905,2020-03-26,6694.21,6796.12,6539.61,6757.95,302121295.09,False,False,False,True
1906,2020-03-27,6757.95,6876.97,6312.53,6382.8,381303011.52,False,False,True,True
1907,2020-03-28,6382.8,6384.56,6051.23,6252.49,378476570.98,False,False,True,True
1908,2020-03-29,6252.49,6286.96,5882.2,5882.2,286789900.17,False,False,True,True
1909,2020-03-30,5882.2,6616.94,5874.8,6403.31,445848282.11,True,True,False,False
1910,2020-03-31,6403.31,6531.66,6350.61,6423.61,233613490.19,False,True,False,False
1911,2020-04-01,6423.61,6716.04,6168.0,6663.63,377164250.74,False,True,False,True
1912,2020-04-02,6663.63,7245.15,6585.75,6804.42,635319847.54,True,True,False,False
1913,2020-04-03,6804.42,7044.01,6618.82,6743.68,379639119.54,False,True,False,True
1914,2020-04-04,6743.68,7010.45,6671.05,6875.95,230044243.33,False,True,False,False
1915,2020-04-05,6875.95,6910.39,6689.07,6781.64,182019861.58,False,False,False,True
1916,2020-04-06,6781.64,7359.05,6779.91,7347.22,560075869.57,True,True,False,False
1917,2020-04-07,7347.22,7462.51,7084.52,7201.57,516422836.71,False,False,False,True
1918,2020-04-08,7201.57,7425.85,7157.96,7367.37,445330043.76,False,True,False,False
1919,2020-04-09,7367.37,7374.01,7124.88,7294.55,321287689.9,False,False,False,True
1920,2020-04-10,7294.55,7304.8,6757.67,6876.49,440132415.16,False,False,True,True
1921,2020-04-11,6876.49,6956.27,6785.52,6887.6,171352839.69,False,False,False,False
1922,2020-04-12,6887.6,7199.97,6802.16,6913.76,297514761.29,False,True,False,False
1923,2020-04-13,6913.76,6913.76,6612.34,6859.43,426458894.19,False,False,False,True
1924,2020-04-14,6859.43,6986.75,6773.97,6879.44,307409556.74,False,False,False,False
1925,2020-04-15,6879.44,6937.49,6614.79,6629.54,336722796.75,False,False,False,True
1926,2020-04-16,6629.54,7207.11,6487.08,7114.55,685621725.46,True,True,False,True
1927,2020-04-17,7114.55,7155.17,7005.79,7037.12,324325510.78,False,False,False,False
1928,2020-04-18,7037.12,7304.35,7028.43,7264.29,258251102.86,False,True,False,False
1929,2020-04-19,7264.29,7276.84,7072.33,7132.88,211422409.66,False,False,False,True
1930,2020-04-20,7132.88,7225.23,6770.07,6842.45,452319848.99,False,False,True,True
1931,2020-04-21,6842.45,6948.78,6779.51,6855.11,305844254.34,False,False,False,False
1932,2020-04-22,6855.11,7165.43,6831.44,7135.41,308254465.67,False,True,False,False
1933,2020-04-23,7135.41,7731.56,7041.2,7489.25,599195847.97,True,True,False,False
1934,2020-04-24,7489.25,7607.28,7408.35,7509.44,389027134.45,False,False,False,False
1935,2020-04-25,7509.44,7708.4,7445.98,7546.92,227962632.37,False,True,False,False
1936,2020-04-26,7546.92,7705.3,7497.88,7701.35,251857766.26,False,True,False,False
1937,2020-04-27,7701.35,7790.33,7639.98,7787.41,374439201.77,False,False,False,False
1938,2020-04-28,7787.41,7791.85,7671.26,7760.32,297442241.62,False,False,False,False
1939,2020-04-29,7760.32,8952.44,7733.02,8784.96,1324299206.24,True,True,False,False
1940,2020-04-30,8784.96,9460.77,8416.64,8637.56,1439132256.65,True,True,False,True
1941,2020-05-01,8637.56,9066.47,8631.39,8829.12,620133839.66,False,True,False,False
1942,2020-05-02,8829.12,9013.29,8768.81,8981.11,321429140.42,False,True,False,False
1943,2020-05-03,8981.11,9197.48,8735.78,8907.19,534161419.79,False,True,False,True
1944,2020-05-04,8907.19,8968.9,8537.49,8881.65,568639005.2,False,False,False,True
1945,2020-05-05,8881.65,9119.13,8781.58,9029.75,538111122.64,False,True,False,False
1946,2020-05-06,9029.75,9408.99,8924.06,9153.2,818515486.36,False,True,False,False
1947,2020-05-07,9153.2,10064.33,9042.52,9999.93,1213223439.69,True,True,False,False
1948,2020-05-08,9999.93,10041.73,9728.64,9808.18,907665361.58,False,False,False,True
1949,2020-05-09,9808.18,9912.22,9525.77,9541.13,580103588.21,False,False,False,True
1950,2020-05-10,9541.13,9556.85,8228.22,8735.05,1159765920.88,False,False,True,True
1951,2020-05-11,8735.05,9164.84,8228.58,8568.88,1259789388.45,False,True,True,True
1952,2020-05-12,8568.88,8975.74,8541.95,8821.18,580579256.62,False,True,False,False
1953,2020-05-13,8821.18,9407.67,8807.57,9317.44,622255318.55,True,True,False,False
1954,2020-05-14,9317.44,9937.97,9263.29,9793.19,936692997.58,True,True,False,False
1955,2020-05-15,9793.19,9841.71,9149.13,9311.69,798930933.92,False,False,True,True
1956,2020-05-16,9311.69,9584.9,9224.32,9387.08,348262438.61,False,True,False,False
1957,2020-05-17,9387.08,9885.55,9334.23,9670.56,505834872.59,True,True,False,False
1958,2020-05-18,9670.56,9943.74,9476.37,9722.73,606235218.3,False,True,False,True
1959,2020-05-19,9722.73,9890.69,9471.96,9780.2,587660019.81,False,False,False,True
1960,2020-05-20,9780.2,9832.94,9323.82,9509.45,593918718.08,False,False,False,True
1961,2020-05-21,9509.45,9566.81,8811.54,9059.11,798218781.95,False,False,True,True
1962,2020-05-22,9059.11,9265.04,8936.82,9170.74,405255700.32,False,True,False,False
1963,2020-05-23,9170.74,9311.34,9101.08,9186.19,217819517.42,False,False,False,False
1964,2020-05-24,9186.19,9307.11,8707.14,8718.49,412753415.47,False,False,True,True
1965,2020-05-25,8718.49,8977.43,8639.46,8901.48,386241517.98,False,True,False,False
1966,2020-05-26,8901.48,9011.53,8705.66,8844.5,352930782.24,False,False,False,True
1967,2020-05-27,8844.5,9222.3,8820.55,9204.62,381475134.6,False,True,False,False
